Split,G,IP,ER,ERA,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO_W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
1st inning,162,162.0,119,6.61,721,645,121,186,34,3,37,18,7,62,126,2.03,0.288,0.355,0.523,0.877,337,14,7,1,5,0,1,0.306,112,138
2nd inning,162,162.0,104,5.78,744,659,109,206,43,8,21,17,2,67,115,1.72,0.313,0.381,0.498,0.878,328,20,9,3,6,0,2,0.35,114,154
3rd inning,162,162.0,94,5.22,684,626,97,171,37,4,23,20,12,48,125,2.6,0.273,0.329,0.455,0.785,285,11,6,1,3,0,1,0.308,90,114
4th inning,162,162.0,94,5.22,723,645,102,186,29,2,27,17,5,63,104,1.65,0.288,0.355,0.465,0.82,300,11,7,2,6,0,5,0.306,100,125
5th inning,162,162.0,73,4.06,674,615,77,156,25,6,23,14,3,51,121,2.37,0.254,0.312,0.426,0.738,262,19,3,1,4,0,3,0.28,79,103
6th inning,162,162.0,94,5.22,718,641,107,186,34,5,23,12,2,60,118,1.97,0.29,0.358,0.467,0.825,299,24,10,2,4,2,3,0.323,101,129
7th inning,162,162.0,79,4.39,722,639,90,179,31,2,25,14,7,71,134,1.89,0.28,0.356,0.452,0.808,289,13,6,2,4,2,6,0.318,97,131
8th inning,162,162.0,117,6.5,739,642,119,187,33,3,23,17,1,74,154,2.08,0.291,0.367,0.46,0.826,295,16,9,3,11,3,2,0.345,102,141
9th inning,112,110.1,87,7.1,513,440,90,130,21,5,18,9,1,58,101,1.74,0.296,0.384,0.489,0.872,215,13,8,2,5,3,2,0.344,113,158
Ext inning,12,20.1,6,2.66,84,71,17,17,3,0,1,3,0,9,20,2.22,0.239,0.325,0.324,0.649,23,4,1,1,2,2,0,0.308,61,70
Innings 1-3,162,486.0,317,5.87,2149,1930,327,563,114,15,81,55,21,177,366,2.07,0.292,0.356,0.492,0.848,950,45,22,5,14,0,4,0.322,106,136
Innings 4-6,162,486.0,261,4.83,2115,1901,286,528,88,13,73,43,10,174,343,1.97,0.278,0.342,0.453,0.795,861,54,20,5,14,2,11,0.304,93,119
Innings 7-9,162,434.1,283,5.86,1974,1721,299,496,85,10,66,40,9,203,389,1.92,0.288,0.367,0.464,0.831,799,42,23,7,20,8,10,0.334,103,141
