Split,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,SO9,SO_W
Inter-League,20,26,0.435,5.51,187,46,46,0,0,11,414.2,463,275,254,63,141,3,323,22,0,18,1816,1.457,7.0,2.29
Los Angeles Angels,2,1,0.667,5.0,12,3,3,0,0,2,27.0,29,15,15,4,6,0,24,3,0,3,117,1.296,8.0,4.0
Arizona Diamondbacks,4,9,0.308,5.72,57,13,13,0,0,1,111.2,123,78,71,16,58,0,79,6,0,5,506,1.621,6.4,1.36
Atlanta Braves,3,3,0.5,5.54,25,6,6,0,0,3,52.0,55,33,32,12,22,0,43,2,0,1,225,1.481,7.4,1.95
Baltimore Orioles,1,2,0.333,5.0,15,3,3,0,0,1,27.0,27,16,15,4,8,0,23,3,0,2,117,1.296,7.7,2.88
Boston Red Sox,2,1,0.667,5.4,12,3,3,0,0,0,30.0,35,21,18,5,9,0,20,2,0,0,130,1.467,6.0,2.22
Chicago Cubs,2,4,0.333,6.75,25,6,6,0,0,0,52.0,68,42,39,11,32,0,42,2,0,3,253,1.923,7.3,1.31
Chicago White Sox,1,2,0.333,5.4,13,3,3,0,0,0,30.0,30,20,18,5,12,2,25,2,0,2,127,1.4,7.5,2.08
Cincinnati Reds,1,6,0.143,8.85,27,7,7,0,0,1,60.0,89,60,59,17,17,0,51,7,0,1,282,1.767,7.7,3.0
Cleveland Guardians,2,1,0.667,7.0,11,3,3,0,0,1,27.0,31,23,21,4,11,0,17,2,0,2,122,1.556,5.7,1.55
Detroit Tigers,1,2,0.333,6.84,14,3,3,0,0,1,25.0,28,20,19,3,12,0,27,0,0,1,112,1.6,9.7,2.25
Miami Marlins,2,5,0.286,5.29,28,7,7,0,0,1,63.0,72,41,37,6,26,1,44,4,0,2,282,1.556,6.3,1.69
Houston Astros,0,4,0.0,7.94,15,4,4,0,0,0,34.0,42,32,30,6,10,0,15,4,0,1,156,1.529,4.0,1.5
Kansas City Royals,2,1,0.667,4.0,10,3,3,0,0,2,27.0,30,13,12,4,4,0,17,0,0,1,112,1.259,5.7,4.25
Los Angeles Dodgers,3,10,0.231,6.29,54,13,13,0,0,2,113.0,134,81,79,23,62,6,83,6,3,8,526,1.735,6.6,1.34
Milwaukee Brewers,4,3,0.571,3.29,29,7,7,0,0,3,63.0,60,25,23,5,22,0,42,1,0,3,261,1.302,6.0,1.91
Minnesota Twins,1,2,0.333,9.0,12,3,3,0,0,1,25.0,39,26,25,5,6,0,14,2,0,1,116,1.8,5.0,2.33
New York Mets,2,4,0.333,6.06,31,6,6,0,0,2,52.0,60,36,35,10,25,0,57,3,0,4,241,1.635,9.9,2.28
New York Yankees,1,2,0.333,5.04,10,3,3,0,0,0,25.0,22,15,14,8,9,0,20,2,0,0,106,1.24,7.2,2.22
Oakland Athletics,1,2,0.333,4.4,15,3,3,0,0,1,30.2,31,18,15,7,12,1,31,0,0,1,131,1.402,9.1,2.58
Philadelphia Phillies,2,4,0.333,4.12,24,6,6,0,0,1,54.2,49,26,25,8,14,0,40,1,0,1,221,1.152,6.6,2.86
Pittsburgh Pirates,2,4,0.333,4.1,21,6,6,0,0,1,52.2,53,25,24,7,12,1,52,2,0,3,218,1.234,8.9,4.33
San Diego Padres,8,5,0.615,4.15,50,13,13,0,0,6,115.0,113,56,53,14,56,0,74,2,0,3,493,1.47,5.8,1.32
Seattle Mariners,1,2,0.333,5.14,12,3,3,0,0,0,28.0,35,18,16,2,12,0,23,2,0,2,128,1.679,7.4,1.92
San Francisco Giants,3,10,0.231,5.56,48,13,13,0,0,1,110.0,134,76,68,15,42,1,98,5,0,4,500,1.6,8.0,2.33
St. Louis Cardinals,3,4,0.429,5.31,28,7,7,0,0,3,61.0,69,40,36,7,17,0,55,2,0,2,270,1.41,8.1,3.24
Tampa Bay Rays,1,2,0.333,5.67,14,3,3,0,0,0,27.0,30,18,17,1,13,0,31,0,0,1,123,1.593,10.3,2.38
Texas Rangers,3,0,1.0,1.67,12,3,3,0,0,2,27.0,22,6,5,2,9,0,18,0,0,0,109,1.148,6.0,2.0
Toronto Blue Jays,1,2,0.333,5.04,10,3,3,0,0,0,25.0,32,14,14,3,8,0,18,0,0,1,110,1.6,6.5,2.25
Washington Nationals,2,4,0.333,5.88,23,6,6,0,0,1,52.0,62,35,34,7,17,0,35,1,1,1,228,1.519,6.1,2.06
WP < .500,19,38,0.333,5.46,223,57,57,0,0,10,504.1,584,328,306,74,174,6,427,24,1,19,2227,1.503,7.6,2.45
WP >= .500,42,63,0.4,5.49,434,105,105,0,0,27,922.1,1020,601,563,147,389,6,691,42,3,40,4095,1.528,6.7,1.78
