Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO_W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
Alfredo Harp Stad,8,83,73,20,23,3,1,6,1,0,7,6,0.86,0.315,0.386,0.63,1.016,46,2,2,0,1,0,0,0.274,144,147
MIL-Am Fam Field,13,98,92,8,17,2,0,3,7,1,6,18,3.0,0.185,0.235,0.304,0.539,28,2,0,0,0,0,1,0.197,31,55
LAA-Angel Stad,12,117,106,15,29,5,0,4,4,1,6,24,4.0,0.274,0.33,0.434,0.764,46,1,3,2,0,0,0,0.321,86,114
STL-Busch Stad 3,16,150,135,20,35,4,0,2,0,1,11,29,2.64,0.259,0.315,0.333,0.649,45,0,1,1,2,0,1,0.311,60,88
ARI-Chase Field,30,270,232,52,71,15,1,8,7,2,30,40,1.33,0.306,0.396,0.483,0.878,112,10,5,1,1,0,1,0.341,115,126
NYM-Citi Field,15,121,102,19,27,5,0,7,3,1,17,32,1.88,0.265,0.38,0.52,0.9,53,0,2,0,0,0,0,0.318,119,157
PHI-CitizensBank,11,106,99,14,25,6,0,5,3,2,6,23,3.83,0.253,0.295,0.465,0.76,46,0,0,1,0,0,0,0.282,83,109
DET-Comerica Pk,14,112,97,20,28,4,2,3,0,0,12,27,2.25,0.289,0.36,0.464,0.824,45,3,0,1,2,0,0,0.362,101,147
COL-Coors Fld,332,3171,2840,452,828,145,24,105,70,22,270,556,2.06,0.292,0.356,0.47,0.826,1336,79,28,7,26,3,17,0.328,101,107
LAD-Dodger Stad,24,224,192,24,51,4,1,10,8,1,27,33,1.22,0.266,0.359,0.453,0.812,87,7,2,0,2,3,1,0.272,98,124
CIN-GreatAmer BP,14,155,140,31,47,14,1,10,5,1,11,34,3.09,0.336,0.387,0.664,1.051,93,3,2,0,2,0,0,0.378,151,179
CHW-Guaranteed,13,127,110,20,30,5,0,5,0,1,12,25,2.08,0.273,0.352,0.455,0.807,50,6,2,2,1,2,0,0.309,97,134
MIA-loanDepot pk,11,117,101,16,25,4,0,1,2,1,11,14,1.27,0.248,0.333,0.317,0.65,32,2,3,0,2,1,0,0.273,62,78
HOU-MinuteMaidPk,7,73,67,12,19,4,0,0,5,1,3,9,3.0,0.284,0.329,0.343,0.672,23,1,2,0,1,0,1,0.322,66,87
WSN-Natls Park,11,110,100,15,28,7,0,3,5,1,9,16,1.78,0.28,0.346,0.44,0.786,44,0,1,0,0,0,0,0.309,92,125
OAK-Oakland Col.,15,131,119,18,31,6,1,7,4,0,12,31,2.58,0.261,0.328,0.504,0.832,60,4,0,0,0,1,0,0.296,100,137
SFG-Oracle Park,27,279,246,53,85,22,5,10,3,0,25,52,2.08,0.346,0.41,0.598,1.008,147,6,4,1,3,1,2,0.401,144,190
SDP-Petco Pk,22,217,185,22,41,8,0,8,4,0,28,35,1.25,0.222,0.326,0.395,0.72,73,7,1,2,1,0,0,0.231,77,102
PIT-PNC Pk,9,102,94,8,19,3,1,2,0,0,7,25,3.57,0.202,0.265,0.319,0.584,30,1,1,0,0,1,0,0.254,43,64
TOR-Rogers Ctr,10,110,102,14,32,4,0,3,2,1,8,18,2.25,0.314,0.364,0.441,0.805,45,2,0,0,0,0,0,0.358,97,126
MIN-Target Field,12,116,105,26,39,11,0,5,2,1,6,14,2.33,0.371,0.405,0.619,1.024,65,3,2,0,3,0,0,0.382,147,175
ATL-Truist Pk,10,105,89,9,19,5,0,1,4,2,13,20,1.54,0.214,0.324,0.303,0.627,27,2,2,0,1,0,0,0.261,56,83
CHC-Wrigley Fld,11,122,102,26,33,2,1,5,2,0,17,17,1.0,0.324,0.418,0.51,0.928,52,1,1,0,2,0,0,0.342,127,184
NYY-Yankee Stad3,10,106,95,15,22,2,0,8,0,0,9,20,2.22,0.232,0.311,0.505,0.817,48,3,2,0,0,0,1,0.209,96,119
